time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-20T14:26:16.508Z,38.4041,-118.9189,13.4,0.9,ml,7,126.29,0.358,0.0761,nn,nn00579272,2017-02-20T19:15:45.209Z,"28km WSW of Hawthorne, Nevada",earthquake,,19.5,0.1,2,reviewed,nn,nn
2017-02-20T14:21:03.610Z,35.9220009,-120.4725037,4.97,2.33,md,21,115,0.03538,0.05,nc,nc72765911,2017-02-20T14:30:03.547Z,"26km SSW of Coalinga, California",earthquake,0.24,0.35,0.15,18,automatic,nc,nc
2017-02-20T14:15:07.720Z,37.6201668,-118.8174973,14.15,1.39,md,14,162,0.02299,0.37,nc,nc72765906,2017-02-20T14:30:03.151Z,"14km ESE of Mammoth Lakes, California",earthquake,3.26,4.04,0.09,11,automatic,nc,nc
2017-02-20T13:41:01.260Z,37.8276,-116.1958,10,1.8,ml,20,111.3,0.399,0.2622,nn,nn00579241,2017-02-20T14:39:31.356Z,"43km SSE of Warm Springs, Nevada",earthquake,,3.9,0.23,12,reviewed,nn,nn
2017-02-20T13:29:54.160Z,-37.5277,-73.8236,30.52,4.3,mb,,134,0.928,0.62,us,us20008kwc,2017-02-20T14:47:51.040Z,"18km WNW of Lebu, Chile",earthquake,6.4,6.9,0.137,15,reviewed,us,us
2017-02-20T13:12:43.057Z,61.042,-146.6114,12.5,1.6,ml,,,,0.75,ak,ak15313935,2017-02-20T13:20:01.668Z,"17km SW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T13:09:26.780Z,38.8074989,-122.8438339,6.83,1.34,md,11,97,0.01153,0.27,nc,nc72765901,2017-02-20T13:45:03.035Z,"8km WNW of The Geysers, California",earthquake,1.84,2.55,0.21,4,automatic,nc,nc
2017-02-20T13:08:00.450Z,36.0093346,-120.5589981,3.85,1.32,md,11,115,0.01815,0.03,nc,nc72765896,2017-02-20T13:33:03.011Z,"23km SW of Coalinga, California",earthquake,0.63,0.78,0.19,6,automatic,nc,nc
2017-02-20T12:58:09.938Z,64.2137,-147.432,4,1.1,ml,,,,0.61,ak,ak15313930,2017-02-20T13:06:29.060Z,"43km SW of Salcha, Alaska",earthquake,,1,,,automatic,ak,ak
2017-02-20T12:46:35.882Z,62.9984,-151.3717,11.7,1.3,ml,,,,0.74,ak,ak15313928,2017-02-20T12:54:29.514Z,"99km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T12:39:23.700Z,18.5596,-67.426,20,2.7,Md,7,266.4,0.18145969,0.28,pr,pr17051006,2017-02-20T15:58:46.553Z,"30km NW of Rincon, Puerto Rico",earthquake,1.7,3.5,0,4,reviewed,pr,pr
2017-02-20T12:11:16.359Z,60.1001,-136.8537,0,2,ml,,,,0.32,ak,ak15313926,2017-02-20T12:20:53.590Z,"81km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2017-02-20T11:55:53.456Z,63.048,-151.5127,11.8,1.5,ml,,,,0.24,ak,ak15313922,2017-02-20T12:09:14.139Z,"108km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T11:17:37.690Z,37.6958351,-122.1126633,10.21,1.26,md,10,120,0.02876,0.07,nc,nc72765881,2017-02-20T11:34:02.768Z,"0km NE of Ashland, California",earthquake,0.54,1.02,0.11,8,automatic,nc,nc
2017-02-20T11:09:32.908Z,37.074,-117.7946,15.3,0.5,ml,5,214.66,0.198,0.127,nn,nn00579266,2017-02-20T18:54:08.546Z,"45km ESE of Big Pine, California",earthquake,,11.4,0,1,reviewed,nn,nn
2017-02-20T11:05:31.082Z,63.0538,-151.4851,2.9,1.7,ml,,,,0.43,ak,ak15313919,2017-02-20T11:19:12.143Z,"107km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T11:01:48.822Z,63.0156,-151.4652,11.1,1.4,ml,,,,0.63,ak,ak15313917,2017-02-20T11:19:12.394Z,"103km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T10:57:52.448Z,63.0666,-151.5346,0.1,2.2,ml,,,,0.7,ak,ak15313912,2017-02-20T11:09:05.277Z,"110km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-20T10:54:29.645Z,60.1255,-152.0906,57.1,1.3,ml,,,,0.33,ak,ak15313911,2017-02-20T11:03:45.636Z,"41km NNW of Anchor Point, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-02-20T10:46:08.640Z,33.6838333,-117.403,13.39,1.1,ml,23,58,0.03964,0.19,ci,ci37586343,2017-02-20T10:49:48.698Z,"7km WNW of Lake Elsinore, CA",earthquake,0.37,0.61,0.239,28,automatic,ci,ci
2017-02-20T10:14:13.470Z,34.1213333,-116.9251667,5.96,0.86,ml,17,89,0.0291,0.16,ci,ci37586335,2017-02-20T10:17:36.073Z,"14km S of Big Bear Lake, CA",earthquake,0.3,0.54,0.135,24,automatic,ci,ci
2017-02-20T10:14:06.820Z,38.8468323,-122.831337,-0.75,0.32,md,6,116,0.02772,0.07,nc,nc72765876,2017-02-20T10:30:03.598Z,"9km WNW of Cobb, California",earthquake,0.29,1.61,0.04,2,automatic,nc,nc
2017-02-20T10:12:11.367Z,63.5296,-147.7787,1.8,1.7,ml,,,,0.74,ak,ak15313899,2017-02-20T10:21:26.483Z,"60km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T09:46:54.300Z,18.1625,-64.8955,17,2,Md,3,230.4,0.39525873,0.17,pr,pr17051005,2017-02-20T12:34:11.124Z,"20km S of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.8,1.8,0,2,reviewed,pr,pr
2017-02-20T09:39:54.420Z,38.8223343,-122.8539963,2.55,1.5,md,6,136,0.01484,0.01,nc,nc72765866,2017-02-20T10:11:03.540Z,"9km WNW of The Geysers, California",earthquake,0.77,1.16,,1,automatic,nc,nc
2017-02-20T09:17:35.510Z,36.071,-117.6475,2.34,0.97,ml,11,102,0.1058,0.1,ci,ci37586327,2017-02-20T09:20:58.883Z,"27km E of Coso Junction, CA",earthquake,0.25,1.73,0.195,10,automatic,ci,ci
2017-02-20T09:16:53.130Z,19.9988327,-155.5753326,36.31,2.4,md,31,155,0.1189,0.15,hv,hv61613826,2017-02-20T09:20:15.590Z,"10km ESE of Waimea, Hawaii",earthquake,0.62,0.78,0.62,3,automatic,hv,hv
2017-02-20T09:08:59.840Z,36.0716667,-117.6493333,1.87,0.81,ml,10,102,0.1048,0.1,ci,ci37586319,2017-02-20T09:12:39.710Z,"27km E of Coso Junction, CA",earthquake,0.23,0.36,0.249,6,automatic,ci,ci
